map,agent,maps_played,events_count,pick_rate,atk_side_rate,def_side_rate,agent_picks,total_compositions,pick_rate_from_comps,side_delta,sample_confidence,observed,agent_presence_score
Lotus,yoru,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Pearl,astra,33.0,4.0,1.0,0.5,0.5,,,,0.0,1.0,True,80.0
Pearl,neon,33.0,4.0,0.8033333333333333,0.5,0.5,,,,0.0,1.0,True,68.2
Pearl,fade,33.0,4.0,0.5145454545454545,0.5,0.5,,,,0.0,1.0,True,50.87
Pearl,killjoy,33.0,4.0,0.4266666666666667,0.5,0.5,,,,0.0,1.0,True,45.6
Pearl,phoenix,33.0,4.0,0.3936363636363636,0.5,0.5,,,,0.0,1.0,True,43.62
Pearl,chamber,33.0,4.0,0.363939393939394,0.5,0.5,,,,0.0,1.0,True,41.84
Pearl,waylay,33.0,4.0,0.3012121212121212,0.5,0.5,,,,0.0,1.0,True,38.07
Pearl,sova,33.0,4.0,0.2863636363636364,0.5,0.5,,,,0.0,1.0,True,37.18
Pearl,tejo,33.0,4.0,0.27484848484848484,0.5,0.5,,,,0.0,1.0,True,36.49
Pearl,cypher,33.0,4.0,0.15181818181818182,0.5,0.5,,,,0.0,1.0,True,29.11
Pearl,skye,33.0,4.0,0.1503030303030303,0.5,0.5,,,,0.0,1.0,True,29.02
Pearl,kayo,33.0,4.0,0.09151515151515152,0.5,0.5,,,,0.0,1.0,True,25.49
Pearl,vyse,33.0,4.0,0.07606060606060606,0.5,0.5,,,,0.0,1.0,True,24.56
Pearl,jett,33.0,4.0,0.04666666666666667,0.5,0.5,,,,0.0,1.0,True,22.8
Pearl,harbor,33.0,4.0,0.044848484848484846,0.5,0.5,,,,0.0,1.0,True,22.69
Pearl,veto,33.0,4.0,0.044848484848484846,0.5,0.5,,,,0.0,1.0,True,22.69
Pearl,omen,33.0,4.0,0.016363636363636365,0.5,0.5,,,,0.0,1.0,True,20.98
Pearl,raze,33.0,4.0,0.016363636363636365,0.5,0.5,,,,0.0,1.0,True,20.98
Pearl,breach,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,brimstone,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,clove,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,deadlock,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,gekko,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,iso,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,miks,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,reyna,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,sage,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,viper,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Pearl,yoru,33.0,4.0,0.0,0.5,0.5,,,,0.0,1.0,True,20.0
Split,viper,34.0,4.0,0.8814705882352941,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,72.89
Split,neon,34.0,4.0,0.7782352941176471,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,66.69
Split,omen,34.0,4.0,0.7505882352941177,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,65.04
Split,skye,34.0,4.0,0.5602941176470588,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,53.62
Split,fade,34.0,4.0,0.4397058823529412,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,46.38
Split,waylay,34.0,4.0,0.4123529411764706,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,44.74
Split,raze,34.0,4.0,0.39735294117647063,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,43.84
Split,astra,34.0,4.0,0.25176470588235295,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,35.11
Split,vyse,34.0,4.0,0.19000000000000003,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,31.4
Split,jett,34.0,4.0,0.08911764705882354,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,25.35
Split,cypher,34.0,4.0,0.08794117647058824,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,25.28
Split,deadlock,34.0,4.0,0.045,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,22.7
Split,veto,34.0,4.0,0.03058823529411765,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,21.84
Split,harbor,34.0,4.0,0.02882352941176471,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,21.73
Split,sage,34.0,4.0,0.02882352941176471,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,21.73
Split,phoenix,34.0,4.0,0.014411764705882355,0.46852941176470586,0.5314705882352941,,,,-0.0629,1.0,True,20.86
