team,map,agents,times_used,teams_using_same_comp,maps_seen,composition_frequency,composition_uniqueness_score,composition_stability_label,sample_reliability_score
Nongshim RedForce,HAVEN,"breach,killjoy,neon,omen,sova",1,1,1,1.0,1.0,team_signature_comp,0.4472
Nongshim RedForce,LOTUS,"breach,fade,neon,omen,vyse",1,1,1,0.5,1.0,team_signature_comp,0.4472
Nongshim RedForce,LOTUS,"fade,neon,omen,viper,waylay",1,4,2,0.5,0.7692,standard_meta_comp,0.4472
Nongshim RedForce,PEARL,"astra,chamber,fade,neon,phoenix",1,7,2,1.0,0.5385,standard_meta_comp,0.4472
Nongshim RedForce,SPLIT,"fade,neon,omen,viper,waylay",1,4,2,1.0,0.7692,standard_meta_comp,0.4472
Nova Esports,BIND,"brimstone,chamber,neon,skye,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
Nova Esports,BREEZE,"jett,neon,omen,sova,viper",2,4,1,1.0,0.7692,standard_meta_comp,0.6325
Nova Esports,FRACTURE,"breach,brimstone,chamber,neon,tejo",1,1,1,0.5,1.0,team_signature_comp,0.4472
Nova Esports,FRACTURE,"brimstone,cypher,neon,skye,waylay",1,7,2,0.5,0.5385,standard_meta_comp,0.4472
Nova Esports,HAVEN,"killjoy,neon,omen,sova,viper",2,11,1,1.0,0.2308,standard_meta_comp,0.6325
Nova Esports,LOTUS,"cypher,fade,neon,omen,viper",2,2,2,1.0,0.9231,team_signature_comp,0.6325
Nova Esports,SPLIT,"fade,omen,raze,viper,vyse",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
PCIFIC Esports,BREEZE,"jett,kayo,omen,sova,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
PCIFIC Esports,FRACTURE,"astra,neon,skye,tejo,veto",1,1,1,1.0,1.0,team_signature_comp,0.4472
PCIFIC Esports,HAVEN,"chamber,neon,omen,sova,viper",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
PCIFIC Esports,LOTUS,"deadlock,fade,neon,omen,vyse",1,1,1,0.5,1.0,team_signature_comp,0.4472
PCIFIC Esports,LOTUS,"fade,neon,omen,sage,veto",1,1,1,0.5,1.0,team_signature_comp,0.4472
PCIFIC Esports,PEARL,"astra,fade,neon,raze,veto",1,1,1,1.0,1.0,team_signature_comp,0.4472
PCIFIC Esports,SPLIT,"astra,fade,neon,raze,viper",3,3,1,0.75,0.8462,map_specific_comp,0.7746
PCIFIC Esports,SPLIT,"astra,fade,raze,viper,waylay",1,1,1,0.25,1.0,rare_comp,0.4472
Paper Rex,BREEZE,"jett,neon,omen,sova,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
Paper Rex,FRACTURE,"breach,brimstone,killjoy,neon,raze",2,1,1,1.0,1.0,team_signature_comp,0.6325
Paper Rex,HAVEN,"chamber,neon,omen,phoenix,sova",1,1,1,1.0,1.0,team_signature_comp,0.4472
Paper Rex,LOTUS,"fade,neon,omen,raze,vyse",2,7,1,1.0,0.5385,standard_meta_comp,0.6325
Paper Rex,PEARL,"astra,fade,jett,phoenix,vyse",1,1,1,1.0,1.0,team_signature_comp,0.4472
